#  tau(fm)  <T>(GeV)  std(T)(GeV)  <mu_B>(GeV)  std(mu_B)(GeV)  V4 (fm^4)
5.000000e-01  6.945864e-04  2.386692e-10  0.000000e+00  0.000000e+00  0.000000e+00
5.150000e-01  6.896274e-04  1.684365e-06  0.000000e+00  0.000000e+00  0.000000e+00
5.300000e-01  5.469318e-02  1.188895e-02  0.000000e+00  0.000000e+00  0.000000e+00
5.450000e-01  1.134649e-01  1.740762e-02  5.973305e-01  3.992425e-02  2.032882e-01
5.600000e-01  1.453997e-01  3.223453e-02  5.957046e-01  5.007526e-02  4.264700e-01
5.750000e-01  1.567528e-01  3.402859e-02  5.905590e-01  7.157563e-02  5.093861e-01
5.900000e-01  1.610313e-01  3.285241e-02  5.100908e-01  2.009376e-01  7.840117e-01
6.050000e-01  1.640135e-01  3.005307e-02  3.979954e-01  2.699158e-01  1.335206e+00
6.200000e-01  1.680619e-01  2.799369e-02  3.346895e-01  2.831997e-01  1.753749e+00
6.350000e-01  1.718959e-01  2.681209e-02  2.898337e-01  2.830546e-01  1.993561e+00
6.500000e-01  1.760008e-01  2.669656e-02  2.524750e-01  2.781159e-01  2.267953e+00
6.650000e-01  1.777021e-01  2.758037e-02  2.248571e-01  2.721734e-01  2.573507e+00
6.800000e-01  1.789525e-01  2.848354e-02  2.005454e-01  2.641856e-01  2.964464e+00
6.950000e-01  1.780534e-01  2.986945e-02  1.633588e-01  2.488088e-01  4.050611e+00
7.100000e-01  1.798205e-01  3.116686e-02  1.259976e-01  2.277122e-01  5.528413e+00
7.250000e-01  1.815485e-01  3.207904e-02  1.017593e-01  2.094648e-01  6.935384e+00
7.400000e-01  1.817696e-01  3.331856e-02  9.467919e-02  1.987475e-01  9.022546e+00
7.550000e-01  1.818750e-01  3.332606e-02  8.576179e-02  1.920239e-01  1.147013e+01
7.700000e-01  1.827085e-01  3.296924e-02  7.552455e-02  1.807391e-01  1.350507e+01
7.850000e-01  1.835779e-01  3.277038e-02  6.787007e-02  1.714978e-01  1.545181e+01
8.000000e-01  1.842670e-01  3.311361e-02  6.070300e-02  1.613956e-01  1.818404e+01
8.150000e-01  1.844818e-01  3.445598e-02  6.833909e-02  1.725737e-01  2.145732e+01
8.300000e-01  1.843695e-01  3.474627e-02  7.051352e-02  1.765576e-01  2.578667e+01
8.450000e-01  1.853244e-01  3.425644e-02  6.590340e-02  1.720017e-01  3.009407e+01
8.600000e-01  1.859787e-01  3.395673e-02  6.116228e-02  1.661444e-01  3.388292e+01
8.750000e-01  1.860498e-01  3.366481e-02  5.688341e-02  1.603360e-01  3.852645e+01
8.900000e-01  1.865930e-01  3.318481e-02  5.285305e-02  1.540357e-01  4.390372e+01
9.050000e-01  1.876589e-01  3.283146e-02  4.994599e-02  1.489515e-01  4.954548e+01
9.200000e-01  1.896059e-01  3.265499e-02  5.074461e-02  1.500403e-01  5.435597e+01
9.350000e-01  1.911036e-01  3.312400e-02  6.021131e-02  1.617825e-01  6.017572e+01
9.500000e-01  1.921429e-01  3.321542e-02  7.276539e-02  1.746509e-01  6.698797e+01
9.650000e-01  1.931472e-01  3.313891e-02  8.175059e-02  1.835096e-01  7.246257e+01
9.800000e-01  1.939122e-01  3.306742e-02  8.192686e-02  1.841318e-01  7.751855e+01
9.950000e-01  1.945374e-01  3.313021e-02  9.104530e-02  1.896691e-01  8.230048e+01
1.010000e+00  1.957554e-01  3.304258e-02  9.380925e-02  1.920001e-01  8.742628e+01
1.025000e+00  1.971397e-01  3.323594e-02  9.204722e-02  1.893919e-01  9.206213e+01
1.040000e+00  1.979313e-01  3.338988e-02  1.021059e-01  1.937721e-01  9.675523e+01
1.055000e+00  1.984008e-01  3.333603e-02  1.072849e-01  1.986417e-01  1.012415e+02
1.070000e+00  1.991147e-01  3.342329e-02  1.176023e-01  2.029955e-01  1.053168e+02
1.085000e+00  1.999318e-01  3.362947e-02  1.196964e-01  2.052735e-01  1.099803e+02
1.100000e+00  2.003286e-01  3.365968e-02  1.298595e-01  2.088589e-01  1.150140e+02
1.115000e+00  2.005645e-01  3.368523e-02  1.377989e-01  2.160851e-01  1.193637e+02
1.130000e+00  2.009901e-01  3.369418e-02  1.392615e-01  2.160078e-01  1.241922e+02
1.145000e+00  2.013079e-01  3.360794e-02  1.389405e-01  2.152377e-01  1.288660e+02
1.160000e+00  2.015195e-01  3.356585e-02  1.373304e-01  2.134238e-01  1.332135e+02
1.175000e+00  2.016415e-01  3.358858e-02  1.439717e-01  2.141464e-01  1.380040e+02
1.190000e+00  2.018746e-01  3.365169e-02  1.508957e-01  2.169083e-01  1.423181e+02
1.205000e+00  2.022279e-01  3.379833e-02  1.590030e-01  2.184732e-01  1.467433e+02
1.220000e+00  2.024592e-01  3.384046e-02  1.608134e-01  2.194843e-01  1.505514e+02
1.235000e+00  2.025767e-01  3.389983e-02  1.613538e-01  2.190565e-01  1.544850e+02
1.250000e+00  2.027038e-01  3.396314e-02  1.636062e-01  2.193335e-01  1.585663e+02
1.265000e+00  2.029592e-01  3.402587e-02  1.639933e-01  2.188205e-01  1.622091e+02
1.280000e+00  2.032380e-01  3.407838e-02  1.626245e-01  2.179330e-01  1.660921e+02
1.295000e+00  2.034121e-01  3.409453e-02  1.638462e-01  2.170526e-01  1.700813e+02
1.310000e+00  2.035014e-01  3.406016e-02  1.672974e-01  2.170672e-01  1.739957e+02
1.325000e+00  2.035390e-01  3.396903e-02  1.738617e-01  2.201367e-01  1.782327e+02
1.340000e+00  2.035410e-01  3.389776e-02  1.786128e-01  2.222221e-01  1.817603e+02
1.355000e+00  2.036308e-01  3.380703e-02  1.854074e-01  2.225911e-01  1.857850e+02
1.370000e+00  2.036643e-01  3.380354e-02  1.912776e-01  2.247878e-01  1.895983e+02
1.385000e+00  2.035540e-01  3.371889e-02  1.927706e-01  2.253688e-01  1.938268e+02
1.400000e+00  2.033860e-01  3.352759e-02  1.972135e-01  2.246932e-01  1.977102e+02
1.415000e+00  2.032996e-01  3.335901e-02  2.002692e-01  2.262014e-01  2.014339e+02
1.430000e+00  2.032341e-01  3.330613e-02  2.012880e-01  2.262952e-01  2.052584e+02
1.445000e+00  2.030886e-01  3.324503e-02  2.038691e-01  2.271552e-01  2.092193e+02
1.460000e+00  2.029855e-01  3.318040e-02  2.038166e-01  2.273039e-01  2.124576e+02
1.475000e+00  2.029259e-01  3.311266e-02  2.023131e-01  2.260684e-01  2.159356e+02
1.490000e+00  2.028877e-01  3.307517e-02  2.057694e-01  2.256170e-01  2.194747e+02
1.505000e+00  2.028412e-01  3.302003e-02  2.092313e-01  2.273198e-01  2.231929e+02
1.520000e+00  2.027322e-01  3.295679e-02  2.113314e-01  2.271834e-01  2.267403e+02
1.535000e+00  2.025042e-01  3.288823e-02  2.156058e-01  2.271425e-01  2.300276e+02
1.550000e+00  2.021772e-01  3.282803e-02  2.205253e-01  2.277249e-01  2.335522e+02
1.565000e+00  2.018821e-01  3.274933e-02  2.210745e-01  2.280651e-01  2.369677e+02
1.580000e+00  2.016470e-01  3.263393e-02  2.209601e-01  2.262878e-01  2.403686e+02
1.595000e+00  2.013941e-01  3.249354e-02  2.223701e-01  2.260245e-01  2.439272e+02
1.610000e+00  2.011486e-01  3.244726e-02  2.226294e-01  2.253328e-01  2.472471e+02
1.625000e+00  2.008747e-01  3.236379e-02  2.228879e-01  2.244587e-01  2.505609e+02
1.640000e+00  2.006468e-01  3.221428e-02  2.236003e-01  2.235991e-01  2.538933e+02
1.655000e+00  2.004467e-01  3.208521e-02  2.227416e-01  2.230846e-01  2.568842e+02
1.670000e+00  2.001999e-01  3.196247e-02  2.214811e-01  2.219234e-01  2.601339e+02
1.685000e+00  1.998857e-01  3.184488e-02  2.206162e-01  2.209472e-01  2.633085e+02
1.700000e+00  1.995594e-01  3.170388e-02  2.192050e-01  2.200139e-01  2.666168e+02
1.715000e+00  1.992672e-01  3.160525e-02  2.187452e-01  2.191905e-01  2.701288e+02
1.730000e+00  1.989891e-01  3.150439e-02  2.201668e-01  2.184389e-01  2.736207e+02
1.745000e+00  1.986617e-01  3.133738e-02  2.240576e-01  2.187179e-01  2.766440e+02
1.760000e+00  1.982666e-01  3.118663e-02  2.279601e-01  2.196909e-01  2.798700e+02
1.775000e+00  1.978274e-01  3.108718e-02  2.343848e-01  2.209579e-01  2.830277e+02
1.790000e+00  1.974750e-01  3.094053e-02  2.386909e-01  2.214036e-01  2.864349e+02
1.805000e+00  1.971679e-01  3.079068e-02  2.405704e-01  2.211628e-01  2.900696e+02
1.820000e+00  1.967770e-01  3.072308e-02  2.412555e-01  2.207664e-01  2.933712e+02
1.835000e+00  1.963188e-01  3.058815e-02  2.466871e-01  2.212176e-01  2.965733e+02
1.850000e+00  1.959591e-01  3.046523e-02  2.502920e-01  2.219944e-01  2.996302e+02
1.865000e+00  1.956173e-01  3.035278e-02  2.508307e-01  2.217655e-01  3.028712e+02
1.880000e+00  1.952045e-01  3.017914e-02  2.544078e-01  2.228437e-01  3.062130e+02
1.895000e+00  1.948860e-01  3.003689e-02  2.554671e-01  2.234805e-01  3.094072e+02
1.910000e+00  1.945860e-01  2.991607e-02  2.560198e-01  2.229606e-01  3.123758e+02
1.925000e+00  1.942241e-01  2.977986e-02  2.602544e-01  2.225906e-01  3.153526e+02
1.940000e+00  1.938046e-01  2.969451e-02  2.641124e-01  2.237629e-01  3.184129e+02
1.955000e+00  1.934305e-01  2.961917e-02  2.640904e-01  2.236126e-01  3.214370e+02
1.970000e+00  1.931163e-01  2.950532e-02  2.652189e-01  2.230265e-01  3.244697e+02
1.985000e+00  1.928245e-01  2.936753e-02  2.676108e-01  2.224069e-01  3.277423e+02
2.000000e+00  1.924279e-01  2.928805e-02  2.712100e-01  2.217785e-01  3.308718e+02
2.015000e+00  1.920214e-01  2.927419e-02  2.743908e-01  2.216210e-01  3.339013e+02
2.030000e+00  1.916285e-01  2.927208e-02  2.770622e-01  2.210989e-01  3.369864e+02
2.045000e+00  1.912878e-01  2.920088e-02  2.775922e-01  2.209576e-01  3.401598e+02
2.060000e+00  1.909780e-01  2.907887e-02  2.763296e-01  2.203458e-01  3.433592e+02
2.075000e+00  1.906680e-01  2.895109e-02  2.751672e-01  2.197416e-01  3.465044e+02
2.090000e+00  1.903668e-01  2.884406e-02  2.743180e-01  2.190797e-01  3.494965e+02
2.105000e+00  1.900535e-01  2.873974e-02  2.734477e-01  2.184650e-01  3.525446e+02
2.120000e+00  1.896492e-01  2.866766e-02  2.769285e-01  2.188823e-01  3.554357e+02
2.135000e+00  1.893148e-01  2.860213e-02  2.786172e-01  2.191644e-01  3.585645e+02
2.150000e+00  1.890361e-01  2.852504e-02  2.777579e-01  2.184637e-01  3.615682e+02
2.165000e+00  1.887293e-01  2.843530e-02  2.768144e-01  2.178168e-01  3.646796e+02
2.180000e+00  1.884300e-01  2.835301e-02  2.764174e-01  2.173352e-01  3.679517e+02
2.195000e+00  1.881614e-01  2.827561e-02  2.757830e-01  2.168193e-01  3.708928e+02
2.210000e+00  1.878667e-01  2.819317e-02  2.749653e-01  2.161600e-01  3.742174e+02
2.225000e+00  1.875614e-01  2.809106e-02  2.745400e-01  2.155537e-01  3.774835e+02
2.240000e+00  1.872843e-01  2.798884e-02  2.737094e-01  2.151179e-01  3.803765e+02
2.255000e+00  1.870017e-01  2.793682e-02  2.743747e-01  2.152666e-01  3.831690e+02
2.270000e+00  1.867631e-01  2.786273e-02  2.745183e-01  2.150765e-01  3.861058e+02
2.285000e+00  1.864896e-01  2.778821e-02  2.736613e-01  2.144385e-01  3.892432e+02
2.300000e+00  1.862080e-01  2.771152e-02  2.728520e-01  2.138035e-01  3.924776e+02
2.315000e+00  1.859303e-01  2.761349e-02  2.734359e-01  2.127995e-01  3.955049e+02
2.330000e+00  1.856278e-01  2.753525e-02  2.750077e-01  2.120562e-01  3.984840e+02
2.345000e+00  1.852922e-01  2.747379e-02  2.758954e-01  2.119159e-01  4.013956e+02
2.360000e+00  1.850679e-01  2.740537e-02  2.752826e-01  2.115097e-01  4.043300e+02
2.375000e+00  1.848646e-01  2.734773e-02  2.742554e-01  2.108980e-01  4.071952e+02
2.390000e+00  1.846075e-01  2.728398e-02  2.750907e-01  2.100634e-01  4.099341e+02
2.405000e+00  1.844146e-01  2.720714e-02  2.766196e-01  2.100171e-01  4.126564e+02
2.420000e+00  1.842340e-01  2.712636e-02  2.765609e-01  2.098264e-01  4.156251e+02
2.435000e+00  1.839912e-01  2.704571e-02  2.758138e-01  2.092220e-01  4.184851e+02
2.450000e+00  1.836558e-01  2.700775e-02  2.776979e-01  2.094603e-01  4.213867e+02
2.465000e+00  1.833695e-01  2.695358e-02  2.797297e-01  2.101900e-01  4.245030e+02
2.480000e+00  1.830852e-01  2.686786e-02  2.826836e-01  2.116842e-01  4.273752e+02
2.495000e+00  1.827513e-01  2.679740e-02  2.852356e-01  2.122063e-01  4.302704e+02
2.510000e+00  1.824613e-01  2.673990e-02  2.862122e-01  2.124889e-01  4.333253e+02
2.525000e+00  1.822022e-01  2.668405e-02  2.858509e-01  2.122990e-01  4.362484e+02
2.540000e+00  1.819268e-01  2.661327e-02  2.851510e-01  2.118334e-01  4.392348e+02
2.555000e+00  1.816695e-01  2.654086e-02  2.844513e-01  2.113368e-01  4.423449e+02
2.570000e+00  1.814210e-01  2.647269e-02  2.837631e-01  2.108375e-01  4.450617e+02
2.585000e+00  1.811660e-01  2.640520e-02  2.830275e-01  2.103740e-01  4.481414e+02
2.600000e+00  1.809061e-01  2.635590e-02  2.833275e-01  2.093587e-01  4.511661e+02
2.615000e+00  1.806619e-01  2.633891e-02  2.834964e-01  2.090994e-01  4.538097e+02
2.630000e+00  1.803977e-01  2.630238e-02  2.852814e-01  2.077087e-01  4.568828e+02
2.645000e+00  1.800883e-01  2.626042e-02  2.880178e-01  2.074929e-01  4.599614e+02
2.660000e+00  1.798563e-01  2.621237e-02  2.884704e-01  2.074210e-01  4.626319e+02
2.675000e+00  1.796620e-01  2.618228e-02  2.877379e-01  2.069307e-01  4.652615e+02
2.690000e+00  1.793947e-01  2.613519e-02  2.884179e-01  2.067852e-01  4.681631e+02
2.705000e+00  1.791154e-01  2.607291e-02  2.884982e-01  2.067437e-01  4.711520e+02
2.720000e+00  1.788564e-01  2.603807e-02  2.885529e-01  2.066276e-01  4.739550e+02
2.735000e+00  1.786289e-01  2.601506e-02  2.883081e-01  2.062814e-01  4.766537e+02
2.750000e+00  1.784006e-01  2.597366e-02  2.877418e-01  2.057764e-01  4.796525e+02
2.765000e+00  1.781844e-01  2.593205e-02  2.870922e-01  2.052837e-01  4.825696e+02
2.780000e+00  1.779698e-01  2.595267e-02  2.871933e-01  2.047059e-01  4.852307e+02
2.795000e+00  1.777228e-01  2.593946e-02  2.882254e-01  2.050634e-01  4.880227e+02
2.810000e+00  1.774774e-01  2.588266e-02  2.885131e-01  2.051134e-01  4.906636e+02
2.825000e+00  1.772388e-01  2.582911e-02  2.880169e-01  2.046444e-01  4.934804e+02
2.840000e+00  1.770312e-01  2.579198e-02  2.874960e-01  2.041334e-01  4.959903e+02
2.855000e+00  1.768257e-01  2.575652e-02  2.869686e-01  2.036217e-01  4.988983e+02
2.870000e+00  1.766119e-01  2.567713e-02  2.864177e-01  2.030696e-01  5.015195e+02
2.885000e+00  1.764484e-01  2.562218e-02  2.868860e-01  2.016510e-01  5.040735e+02
2.900000e+00  1.762647e-01  2.555365e-02  2.871660e-01  2.012652e-01  5.068971e+02
2.915000e+00  1.760622e-01  2.553378e-02  2.869957e-01  2.006250e-01  5.100853e+02
2.930000e+00  1.758282e-01  2.555615e-02  2.878217e-01  1.997745e-01  5.128239e+02
2.945000e+00  1.755442e-01  2.555977e-02  2.885759e-01  1.997975e-01  5.155637e+02
2.960000e+00  1.753047e-01  2.552542e-02  2.884866e-01  1.995769e-01  5.183507e+02
2.975000e+00  1.750818e-01  2.548126e-02  2.880244e-01  1.991248e-01  5.210237e+02
2.990000e+00  1.749005e-01  2.544626e-02  2.873928e-01  1.986392e-01  5.238366e+02
3.005000e+00  1.747342e-01  2.540197e-02  2.867436e-01  1.980821e-01  5.265814e+02
3.020000e+00  1.745285e-01  2.534860e-02  2.862625e-01  1.975622e-01  5.293976e+02
3.035000e+00  1.743036e-01  2.530611e-02  2.871352e-01  1.969789e-01  5.318619e+02
3.050000e+00  1.741051e-01  2.527988e-02  2.876176e-01  1.967391e-01  5.346328e+02
3.065000e+00  1.739288e-01  2.524121e-02  2.869046e-01  1.962993e-01  5.372621e+02
3.080000e+00  1.737513e-01  2.519563e-02  2.862548e-01  1.958807e-01  5.401069e+02
3.095000e+00  1.735578e-01  2.516208e-02  2.858206e-01  1.954259e-01  5.426892e+02
3.110000e+00  1.733599e-01  2.512345e-02  2.852981e-01  1.950085e-01  5.451985e+02
3.125000e+00  1.731647e-01  2.508517e-02  2.847762e-01  1.945905e-01  5.480223e+02
3.140000e+00  1.729626e-01  2.504754e-02  2.843260e-01  1.941546e-01  5.508481e+02
3.155000e+00  1.727620e-01  2.500982e-02  2.838765e-01  1.937194e-01  5.536266e+02
3.170000e+00  1.725599e-01  2.496906e-02  2.834353e-01  1.932927e-01  5.559878e+02
3.185000e+00  1.723594e-01  2.492950e-02  2.829983e-01  1.928731e-01  5.586929e+02
3.200000e+00  1.721598e-01  2.489187e-02  2.825674e-01  1.924625e-01  5.616971e+02
3.215000e+00  1.719339e-01  2.484731e-02  2.833042e-01  1.920596e-01  5.643801e+02
3.230000e+00  1.717095e-01  2.481112e-02  2.836441e-01  1.919730e-01  5.668124e+02
3.245000e+00  1.715131e-01  2.477353e-02  2.832405e-01  1.915821e-01  5.696212e+02
3.260000e+00  1.713177e-01  2.473576e-02  2.828313e-01  1.911974e-01  5.724569e+02
3.275000e+00  1.711234e-01  2.469861e-02  2.824257e-01  1.908169e-01  5.750655e+02
3.290000e+00  1.709300e-01  2.466205e-02  2.820233e-01  1.904399e-01  5.777761e+02
3.305000e+00  1.707377e-01  2.462566e-02  2.816218e-01  1.900622e-01  5.802562e+02
3.320000e+00  1.705509e-01  2.459362e-02  2.812160e-01  1.896766e-01  5.828640e+02
3.335000e+00  1.703647e-01  2.456177e-02  2.808109e-01  1.892926e-01  5.855233e+02
3.350000e+00  1.701757e-01  2.452574e-02  2.804141e-01  1.889205e-01  5.880006e+02
3.365000e+00  1.699879e-01  2.448990e-02  2.800210e-01  1.885528e-01  5.904504e+02
3.380000e+00  1.698025e-01  2.445415e-02  2.796307e-01  1.881833e-01  5.929511e+02
3.395000e+00  1.696180e-01  2.441878e-02  2.792457e-01  1.878167e-01  5.955298e+02
3.410000e+00  1.694331e-01  2.438158e-02  2.801952e-01  1.868026e-01  5.979755e+02
3.425000e+00  1.692379e-01  2.433779e-02  2.810934e-01  1.868107e-01  6.004995e+02
3.440000e+00  1.690552e-01  2.430002e-02  2.807057e-01  1.864325e-01  6.031561e+02
3.455000e+00  1.688731e-01  2.426275e-02  2.803213e-01  1.860575e-01  6.057056e+02
3.470000e+00  1.686920e-01  2.422689e-02  2.799477e-01  1.856956e-01  6.084431e+02
3.485000e+00  1.685119e-01  2.419149e-02  2.795766e-01  1.853371e-01  6.108566e+02
3.500000e+00  1.683379e-01  2.415592e-02  2.791947e-01  1.849771e-01  6.132955e+02
3.515000e+00  1.681652e-01  2.412097e-02  2.788117e-01  1.846197e-01  6.159785e+02
3.530000e+00  1.679876e-01  2.408680e-02  2.784475e-01  1.842719e-01  6.182780e+02
3.545000e+00  1.678103e-01  2.405259e-02  2.780879e-01  1.839295e-01  6.207124e+02
3.560000e+00  1.676337e-01  2.401890e-02  2.777317e-01  1.835916e-01  6.232005e+02
3.575000e+00  1.674581e-01  2.398503e-02  2.773789e-01  1.832581e-01  6.256597e+02
3.590000e+00  1.672831e-01  2.395144e-02  2.770301e-01  1.829296e-01  6.283127e+02
3.605000e+00  1.671093e-01  2.391922e-02  2.766837e-01  1.826050e-01  6.305458e+02
