#  tau(fm)  <T>(GeV)  std(T)(GeV)  <mu_B>(GeV)  std(mu_B)(GeV)  V4 (fm^4)
4.800000e-01  6.945864e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
4.950000e-01  1.624180e-01  2.535334e-02  2.262256e-02  8.310285e-02  6.409624e-01
5.100000e-01  1.772134e-01  2.986580e-02  2.338914e-02  8.402454e-02  9.178942e-01
5.250000e-01  1.742817e-01  2.929334e-02  2.269652e-02  8.251461e-02  9.064114e-01
5.400000e-01  1.721352e-01  2.888843e-02  2.190201e-02  8.094009e-02  8.971274e-01
5.550000e-01  1.702426e-01  2.844417e-02  2.108179e-02  7.900272e-02  8.813691e-01
5.700000e-01  1.684102e-01  2.815491e-02  2.029150e-02  7.706273e-02  8.680539e-01
5.850000e-01  1.664383e-01  2.816569e-02  1.941945e-02  7.472161e-02  8.718407e-01
6.000000e-01  1.642680e-01  2.845601e-02  1.848240e-02  7.215948e-02  8.746504e-01
6.150000e-01  1.618843e-01  2.903677e-02  1.738671e-02  6.918997e-02  8.864996e-01
6.300000e-01  1.593985e-01  2.974311e-02  1.612420e-02  6.582761e-02  8.824685e-01
6.450000e-01  1.568002e-01  3.059510e-02  1.470036e-02  6.202786e-02  8.929740e-01
6.600000e-01  1.545637e-01  3.131855e-02  1.329027e-02  5.824416e-02  8.653663e-01
6.750000e-01  1.524580e-01  3.190724e-02  1.195836e-02  5.462440e-02  8.630453e-01
6.900000e-01  1.498393e-01  3.266803e-02  1.065490e-02  5.105368e-02  9.159397e-01
7.050000e-01  1.470346e-01  3.301558e-02  9.370475e-03  4.747933e-02  9.875242e-01
7.200000e-01  1.438612e-01  3.321022e-02  8.117092e-03  4.392199e-02  1.061308e+00
7.350000e-01  1.412424e-01  3.242179e-02  7.027618e-03  4.053014e-02  1.155247e+00
7.500000e-01  1.393883e-01  3.138097e-02  6.015213e-03  3.728876e-02  1.307089e+00
7.650000e-01  1.375693e-01  3.073485e-02  1.983023e-02  9.787115e-02  1.470292e+00
7.800000e-01  1.369185e-01  2.964971e-02  1.753686e-02  9.142399e-02  1.645222e+00
7.950000e-01  1.369218e-01  2.878226e-02  1.759098e-02  8.655339e-02  1.851669e+00
8.100000e-01  1.370060e-01  2.817855e-02  1.666533e-02  8.226720e-02  2.058116e+00
8.250000e-01  1.355245e-01  2.827385e-02  5.946464e-02  1.680333e-01  2.324664e+00
8.400000e-01  1.362879e-01  2.817642e-02  6.132018e-02  1.708156e-01  2.551634e+00
8.550000e-01  1.366666e-01  2.823038e-02  5.574490e-02  1.629427e-01  2.736459e+00
8.700000e-01  1.368913e-01  2.826281e-02  5.093526e-02  1.555503e-01  2.919085e+00
8.850000e-01  1.372177e-01  2.833667e-02  4.646343e-02  1.483645e-01  3.149596e+00
9.000000e-01  1.376185e-01  2.841533e-02  4.417005e-02  1.432735e-01  3.393546e+00
9.150000e-01  1.380543e-01  2.852754e-02  4.124495e-02  1.381548e-01  3.599137e+00
9.300000e-01  1.384667e-01  2.857230e-02  3.821423e-02  1.325512e-01  3.817189e+00
9.450000e-01  1.389177e-01  2.857385e-02  3.849961e-02  1.303184e-01  4.071156e+00
9.600000e-01  1.393382e-01  2.865438e-02  3.741497e-02  1.289067e-01  4.276503e+00
9.750000e-01  1.389648e-01  2.913782e-02  5.424398e-02  1.524013e-01  4.581531e+00
9.900000e-01  1.391755e-01  2.918263e-02  5.519569e-02  1.538466e-01  4.821327e+00
1.005000e+00  1.396665e-01  2.920062e-02  5.180946e-02  1.488623e-01  5.082623e+00
1.020000e+00  1.400815e-01  2.925417e-02  4.897452e-02  1.445878e-01  5.424298e+00
1.035000e+00  1.404198e-01  2.926149e-02  4.653249e-02  1.407169e-01  5.655787e+00
1.050000e+00  1.407502e-01  2.926962e-02  4.474256e-02  1.376130e-01  5.831817e+00
1.065000e+00  1.402308e-01  2.939925e-02  6.695498e-02  1.713637e-01  6.201344e+00
1.080000e+00  1.405585e-01  2.946876e-02  6.659528e-02  1.720320e-01  6.438209e+00
1.095000e+00  1.428535e-01  3.097370e-02  6.319406e-02  1.671293e-01  6.857576e+00
1.110000e+00  1.445606e-01  3.236925e-02  5.986829e-02  1.632472e-01  7.222706e+00
1.125000e+00  1.442983e-01  3.194904e-02  5.783055e-02  1.603686e-01  7.604327e+00
1.140000e+00  1.440602e-01  3.159493e-02  5.869087e-02  1.595260e-01  7.854262e+00
1.155000e+00  1.439626e-01  3.128472e-02  5.901369e-02  1.585131e-01  8.155137e+00
1.170000e+00  1.439468e-01  3.094797e-02  5.775583e-02  1.563396e-01  8.689822e+00
1.185000e+00  1.458744e-01  3.178160e-02  5.541031e-02  1.522745e-01  9.148647e+00
1.200000e+00  1.475493e-01  3.285253e-02  5.701954e-02  1.531467e-01  9.665131e+00
1.215000e+00  1.471229e-01  3.249543e-02  5.845539e-02  1.550281e-01  1.008279e+01
1.230000e+00  1.466132e-01  3.206955e-02  5.871424e-02  1.550278e-01  1.036754e+01
1.245000e+00  1.462845e-01  3.165580e-02  5.989437e-02  1.554856e-01  1.079815e+01
1.260000e+00  1.460994e-01  3.121688e-02  5.923682e-02  1.537888e-01  1.114373e+01
1.275000e+00  1.458476e-01  3.081851e-02  6.070623e-02  1.548509e-01  1.163981e+01
1.290000e+00  1.455683e-01  3.046556e-02  6.281521e-02  1.553487e-01  1.207091e+01
1.305000e+00  1.452168e-01  3.010417e-02  6.330754e-02  1.552538e-01  1.236005e+01
1.320000e+00  1.455377e-01  2.973150e-02  1.002967e-01  1.842317e-01  1.286762e+01
1.335000e+00  1.456935e-01  2.981254e-02  1.169875e-01  2.073579e-01  1.335088e+01
1.350000e+00  1.456864e-01  2.958869e-02  1.145705e-01  2.049510e-01  1.376475e+01
1.365000e+00  1.457894e-01  2.950399e-02  1.119359e-01  2.027621e-01  1.420672e+01
1.380000e+00  1.454655e-01  2.920204e-02  1.115467e-01  2.009699e-01  1.454265e+01
1.395000e+00  1.450517e-01  2.885461e-02  1.112790e-01  1.996604e-01  1.492794e+01
1.410000e+00  1.446798e-01  2.853411e-02  1.128310e-01  1.985748e-01  1.543294e+01
1.425000e+00  1.443475e-01  2.823981e-02  1.135909e-01  1.988455e-01  1.589885e+01
1.440000e+00  1.441522e-01  2.803534e-02  1.127436e-01  1.977011e-01  1.632420e+01
1.455000e+00  1.437954e-01  2.788569e-02  1.140935e-01  1.984909e-01  1.671938e+01
1.470000e+00  1.434235e-01  2.762858e-02  1.129119e-01  1.975582e-01  1.707132e+01
1.485000e+00  1.431611e-01  2.736288e-02  1.120064e-01  1.955217e-01  1.741483e+01
1.500000e+00  1.423493e-01  2.739801e-02  1.285809e-01  2.051988e-01  1.800607e+01
1.515000e+00  1.419484e-01  2.719404e-02  1.345819e-01  2.086154e-01  1.855627e+01
1.530000e+00  1.417325e-01  2.693945e-02  1.337235e-01  2.071305e-01  1.912626e+01
1.545000e+00  1.415210e-01  2.669975e-02  1.322811e-01  2.056399e-01  1.940185e+01
1.560000e+00  1.413042e-01  2.646256e-02  1.305848e-01  2.039715e-01  1.975537e+01
1.575000e+00  1.410986e-01  2.624180e-02  1.290803e-01  2.026008e-01  2.011207e+01
1.590000e+00  1.410270e-01  2.588759e-02  1.442443e-01  2.073180e-01  2.086041e+01
1.605000e+00  1.407927e-01  2.581590e-02  1.532532e-01  2.179503e-01  2.151469e+01
1.620000e+00  1.411192e-01  2.589451e-02  1.513662e-01  2.160723e-01  2.216432e+01
1.635000e+00  1.415743e-01  2.612508e-02  1.485426e-01  2.146117e-01  2.294210e+01
1.650000e+00  1.418765e-01  2.604870e-02  1.452402e-01  2.128691e-01  2.348852e+01
1.665000e+00  1.419305e-01  2.600027e-02  1.444454e-01  2.112371e-01  2.412239e+01
1.680000e+00  1.418556e-01  2.585118e-02  1.565067e-01  2.130783e-01  2.476384e+01
1.695000e+00  1.417537e-01  2.576185e-02  1.631941e-01  2.184712e-01  2.533005e+01
1.710000e+00  1.415094e-01  2.559800e-02  1.628020e-01  2.178413e-01  2.583273e+01
1.725000e+00  1.416334e-01  2.552874e-02  1.605891e-01  2.169218e-01  2.648077e+01
1.740000e+00  1.417315e-01  2.556505e-02  1.593982e-01  2.156464e-01  2.705113e+01
1.755000e+00  1.415305e-01  2.551255e-02  1.606580e-01  2.158711e-01  2.779885e+01
1.770000e+00  1.414287e-01  2.540824e-02  1.593044e-01  2.151663e-01  2.832475e+01
1.785000e+00  1.412299e-01  2.525327e-02  1.580098e-01  2.142142e-01  2.875376e+01
1.800000e+00  1.409291e-01  2.527723e-02  1.603374e-01  2.152066e-01  2.911266e+01
1.815000e+00  1.407973e-01  2.523415e-02  1.599180e-01  2.150497e-01  2.965089e+01
1.830000e+00  1.407209e-01  2.510223e-02  1.751198e-01  2.146845e-01  3.026852e+01
1.845000e+00  1.401967e-01  2.507945e-02  1.928581e-01  2.260408e-01  3.102749e+01
1.860000e+00  1.399506e-01  2.502878e-02  1.936842e-01  2.272376e-01  3.147666e+01
1.875000e+00  1.397418e-01  2.493807e-02  1.934890e-01  2.267583e-01  3.203590e+01
1.890000e+00  1.395213e-01  2.483788e-02  1.927826e-01  2.263033e-01  3.263081e+01
1.905000e+00  1.392909e-01  2.471653e-02  1.919043e-01  2.257055e-01  3.288979e+01
1.920000e+00  1.391081e-01  2.462229e-02  1.929566e-01  2.259176e-01  3.332076e+01
1.935000e+00  1.389628e-01  2.463961e-02  1.936692e-01  2.260940e-01  3.381745e+01
1.950000e+00  1.388872e-01  2.477541e-02  1.943248e-01  2.261213e-01  3.439721e+01
1.965000e+00  1.387869e-01  2.483938e-02  1.938540e-01  2.258776e-01  3.466181e+01
1.980000e+00  1.386650e-01  2.476291e-02  1.928914e-01  2.252330e-01  3.518440e+01
1.995000e+00  1.385463e-01  2.468688e-02  1.918177e-01  2.245897e-01  3.546719e+01
2.010000e+00  1.383678e-01  2.457600e-02  1.912590e-01  2.241074e-01  3.612672e+01
2.025000e+00  1.381594e-01  2.448490e-02  1.924903e-01  2.237224e-01  3.661071e+01
2.040000e+00  1.379609e-01  2.442066e-02  1.930175e-01  2.239800e-01  3.698159e+01
2.055000e+00  1.378147e-01  2.434588e-02  1.930576e-01  2.229632e-01  3.737066e+01
2.070000e+00  1.375839e-01  2.424012e-02  1.942504e-01  2.221163e-01  3.796373e+01
2.085000e+00  1.372674e-01  2.421064e-02  1.966098e-01  2.229388e-01  3.834071e+01
2.100000e+00  1.372246e-01  2.407929e-02  1.955290e-01  2.226392e-01  3.936904e+01
2.115000e+00  1.372780e-01  2.399610e-02  1.970889e-01  2.223001e-01  4.035644e+01
2.130000e+00  1.373240e-01  2.399512e-02  1.973150e-01  2.234643e-01  4.131917e+01
2.145000e+00  1.372341e-01  2.401441e-02  1.996494e-01  2.243556e-01  4.204686e+01
2.160000e+00  1.370178e-01  2.402448e-02  2.013598e-01  2.251635e-01  4.260476e+01
2.175000e+00  1.368859e-01  2.398658e-02  2.010834e-01  2.248350e-01  4.293605e+01
2.190000e+00  1.368516e-01  2.392470e-02  1.999612e-01  2.242860e-01  4.341051e+01
2.205000e+00  1.368027e-01  2.387648e-02  2.002788e-01  2.233799e-01  4.397720e+01
2.220000e+00  1.366834e-01  2.378930e-02  2.029594e-01  2.217100e-01  4.442100e+01
2.235000e+00  1.365445e-01  2.370308e-02  2.041707e-01  2.209752e-01  4.495776e+01
2.250000e+00  1.366018e-01  2.363067e-02  2.026727e-01  2.204254e-01  4.566261e+01
2.265000e+00  1.367258e-01  2.355766e-02  2.069925e-01  2.188240e-01  4.635439e+01
2.280000e+00  1.364763e-01  2.345738e-02  2.111058e-01  2.210862e-01  4.703273e+01
2.295000e+00  1.363247e-01  2.334865e-02  2.108928e-01  2.206804e-01  4.754775e+01
2.310000e+00  1.361668e-01  2.325131e-02  2.106639e-01  2.202548e-01  4.806546e+01
2.325000e+00  1.360808e-01  2.319546e-02  2.107222e-01  2.196787e-01  4.879413e+01
2.340000e+00  1.359642e-01  2.315335e-02  2.107283e-01  2.193550e-01  4.931855e+01
2.355000e+00  1.357234e-01  2.306490e-02  2.150985e-01  2.183762e-01  4.969223e+01
2.370000e+00  1.354592e-01  2.298140e-02  2.176236e-01  2.194876e-01  4.991224e+01
2.385000e+00  1.353270e-01  2.290625e-02  2.175737e-01  2.190628e-01  5.026699e+01
2.400000e+00  1.351660e-01  2.282649e-02  2.189407e-01  2.182468e-01  5.058313e+01
2.415000e+00  1.349987e-01  2.275723e-02  2.199075e-01  2.181607e-01  5.109595e+01
2.430000e+00  1.348921e-01  2.269372e-02  2.196981e-01  2.177711e-01  5.139353e+01
2.445000e+00  1.347697e-01  2.262381e-02  2.195455e-01  2.174088e-01  5.173068e+01
2.460000e+00  1.346276e-01  2.255088e-02  2.195176e-01  2.170762e-01  5.200798e+01
2.475000e+00  1.346509e-01  2.248244e-02  2.190554e-01  2.158824e-01  5.232510e+01
2.490000e+00  1.346450e-01  2.245925e-02  2.186936e-01  2.149507e-01  5.252055e+01
2.505000e+00  1.345077e-01  2.241178e-02  2.186810e-01  2.146536e-01  5.295935e+01
2.520000e+00  1.343521e-01  2.241729e-02  2.194126e-01  2.146901e-01  5.323542e+01
2.535000e+00  1.342539e-01  2.238547e-02  2.192982e-01  2.144736e-01  5.353165e+01
2.550000e+00  1.341476e-01  2.233783e-02  2.191175e-01  2.141620e-01  5.380688e+01
2.565000e+00  1.340423e-01  2.233681e-02  2.201645e-01  2.134936e-01  5.422783e+01
2.580000e+00  1.339504e-01  2.233335e-02  2.207193e-01  2.133666e-01  5.471304e+01
2.595000e+00  1.338111e-01  2.230329e-02  2.234614e-01  2.123804e-01  5.503114e+01
2.610000e+00  1.336709e-01  2.227421e-02  2.253074e-01  2.123910e-01  5.547678e+01
2.625000e+00  1.335764e-01  2.225518e-02  2.252470e-01  2.121236e-01  5.594525e+01
2.640000e+00  1.334458e-01  2.219980e-02  2.253539e-01  2.119051e-01  5.635094e+01
2.655000e+00  1.333128e-01  2.214243e-02  2.254639e-01  2.117042e-01  5.647652e+01
2.670000e+00  1.331794e-01  2.208958e-02  2.255533e-01  2.115014e-01  5.686082e+01
2.685000e+00  1.330103e-01  2.205799e-02  2.276140e-01  2.110652e-01  5.704907e+01
2.700000e+00  1.328678e-01  2.205318e-02  2.284909e-01  2.111602e-01  5.736778e+01
2.715000e+00  1.327830e-01  2.202438e-02  2.284070e-01  2.109339e-01  5.773071e+01
2.730000e+00  1.326712e-01  2.200891e-02  2.293642e-01  2.105505e-01  5.829422e+01
2.745000e+00  1.324818e-01  2.197802e-02  2.313583e-01  2.104475e-01  5.859217e+01
2.760000e+00  1.322998e-01  2.191705e-02  2.325763e-01  2.105681e-01  5.893482e+01
2.775000e+00  1.321766e-01  2.187080e-02  2.327068e-01  2.103941e-01  5.920992e+01
2.790000e+00  1.320580e-01  2.182524e-02  2.328245e-01  2.102084e-01  5.937092e+01
2.805000e+00  1.319417e-01  2.178240e-02  2.329441e-01  2.100238e-01  5.953022e+01
2.820000e+00  1.318273e-01  2.174042e-02  2.330667e-01  2.098432e-01  5.987152e+01
2.835000e+00  1.317579e-01  2.171405e-02  2.329328e-01  2.096811e-01  6.032852e+01
2.850000e+00  1.316876e-01  2.169360e-02  2.328250e-01  2.095172e-01  6.053167e+01
2.865000e+00  1.316023e-01  2.167598e-02  2.328704e-01  2.093088e-01  6.087359e+01
2.880000e+00  1.315132e-01  2.165815e-02  2.329294e-01  2.091036e-01  6.102812e+01
2.895000e+00  1.314292e-01  2.162806e-02  2.341502e-01  2.082988e-01  6.144028e+01
2.910000e+00  1.313235e-01  2.159562e-02  2.352001e-01  2.081324e-01  6.168753e+01
2.925000e+00  1.312053e-01  2.156097e-02  2.354063e-01  2.079773e-01  6.191022e+01
2.940000e+00  1.311190e-01  2.152959e-02  2.353837e-01  2.078234e-01  6.215588e+01
2.955000e+00  1.310299e-01  2.150396e-02  2.354123e-01  2.076677e-01  6.249707e+01
2.970000e+00  1.309137e-01  2.147119e-02  2.356251e-01  2.075200e-01  6.279012e+01
2.985000e+00  1.307991e-01  2.143939e-02  2.358328e-01  2.073687e-01  6.313155e+01
3.000000e+00  1.306850e-01  2.140926e-02  2.360419e-01  2.072214e-01  6.357096e+01
3.015000e+00  1.305722e-01  2.137929e-02  2.362510e-01  2.070752e-01  6.386426e+01
3.030000e+00  1.304883e-01  2.136992e-02  2.363334e-01  2.069112e-01  6.405861e+01
3.045000e+00  1.304011e-01  2.136061e-02  2.364373e-01  2.067525e-01  6.427654e+01
3.060000e+00  1.302881e-01  2.133293e-02  2.366563e-01  2.066097e-01  6.449349e+01
3.075000e+00  1.302097e-01  2.133543e-02  2.367515e-01  2.064822e-01  6.450912e+01
3.090000e+00  1.301256e-01  2.133897e-02  2.368813e-01  2.063576e-01  6.479865e+01
3.105000e+00  1.300109e-01  2.131043e-02  2.371243e-01  2.062203e-01  6.488562e+01
3.120000e+00  1.298974e-01  2.128215e-02  2.373658e-01  2.060926e-01  6.512285e+01
3.135000e+00  1.297852e-01  2.125424e-02  2.376066e-01  2.059573e-01  6.538488e+01
3.150000e+00  1.296737e-01  2.122745e-02  2.378453e-01  2.058217e-01  6.551815e+01
