#  tau(fm)  <T>(GeV)  std(T)(GeV)  <mu_B>(GeV)  std(mu_B)(GeV)  V4 (fm^4)
4.800000e-01  6.945864e-04  4.580965e-10  0.000000e+00  0.000000e+00  0.000000e+00
4.950000e-01  8.446229e-02  9.844346e-03  7.226313e-03  2.045666e-02  0.000000e+00
5.100000e-01  2.402957e-01  5.767314e-02  4.815035e-08  5.858286e-07  2.512787e+00
5.250000e-01  2.637177e-01  6.449884e-02  1.646958e-08  2.361190e-07  9.914944e+00
5.400000e-01  2.729266e-01  6.010370e-02  8.649114e-04  2.209806e-02  2.917423e+01
5.550000e-01  2.928842e-01  5.647877e-02  1.430380e-02  7.449920e-02  4.326392e+01
5.700000e-01  3.109897e-01  5.450221e-02  2.285405e-02  9.595666e-02  5.673915e+01
5.850000e-01  3.298222e-01  5.484143e-02  2.954226e-02  1.048735e-01  6.406362e+01
6.000000e-01  3.417037e-01  5.501113e-02  3.533832e-02  1.119049e-01  6.941988e+01
6.150000e-01  3.489318e-01  5.501458e-02  4.105195e-02  1.183655e-01  7.201683e+01
6.300000e-01  3.523440e-01  5.502098e-02  4.419118e-02  1.229620e-01  7.407604e+01
6.450000e-01  3.533905e-01  5.490179e-02  4.568353e-02  1.221495e-01  7.601836e+01
6.600000e-01  3.531378e-01  5.464646e-02  4.689142e-02  1.220573e-01  7.793134e+01
6.750000e-01  3.521654e-01  5.428265e-02  4.754678e-02  1.215519e-01  7.979597e+01
6.900000e-01  3.507325e-01  5.384223e-02  4.823528e-02  1.217000e-01  8.161978e+01
7.050000e-01  3.490083e-01  5.334847e-02  4.840502e-02  1.209610e-01  8.345728e+01
7.200000e-01  3.471020e-01  5.282305e-02  4.861287e-02  1.206351e-01  8.531506e+01
7.350000e-01  3.450785e-01  5.227486e-02  4.857354e-02  1.199858e-01  8.721217e+01
7.500000e-01  3.429859e-01  5.171283e-02  4.862503e-02  1.193468e-01  8.911417e+01
7.650000e-01  3.408583e-01  5.114588e-02  4.865098e-02  1.189004e-01  9.102105e+01
7.800000e-01  3.387207e-01  5.057674e-02  4.878878e-02  1.184969e-01  9.305987e+01
7.950000e-01  3.365854e-01  5.000616e-02  4.922175e-02  1.179773e-01  9.512140e+01
8.100000e-01  3.344604e-01  4.943874e-02  4.943957e-02  1.174152e-01  9.714703e+01
8.250000e-01  3.323621e-01  4.887978e-02  4.933586e-02  1.167787e-01  9.910729e+01
8.400000e-01  3.302933e-01  4.833015e-02  4.923442e-02  1.161623e-01  1.010734e+02
8.550000e-01  3.282579e-01  4.779041e-02  4.906464e-02  1.155369e-01  1.030385e+02
8.700000e-01  3.262629e-01  4.726379e-02  4.892136e-02  1.148952e-01  1.051791e+02
8.850000e-01  3.243107e-01  4.675129e-02  4.877792e-02  1.142391e-01  1.073602e+02
9.000000e-01  3.224036e-01  4.625294e-02  4.860336e-02  1.135730e-01  1.094803e+02
9.150000e-01  3.205425e-01  4.576962e-02  4.844478e-02  1.129127e-01  1.115658e+02
9.300000e-01  3.187276e-01  4.530282e-02  4.828344e-02  1.122466e-01  1.137280e+02
9.450000e-01  3.169580e-01  4.485250e-02  4.810775e-02  1.115518e-01  1.159702e+02
9.600000e-01  3.152349e-01  4.441962e-02  4.798434e-02  1.108477e-01  1.181315e+02
9.750000e-01  3.135568e-01  4.400268e-02  4.784971e-02  1.101478e-01  1.204458e+02
9.900000e-01  3.119218e-01  4.360061e-02  4.765694e-02  1.094284e-01  1.225649e+02
1.005000e+00  3.103300e-01  4.321431e-02  4.750714e-02  1.087355e-01  1.247330e+02
1.020000e+00  3.087805e-01  4.284349e-02  4.740088e-02  1.080289e-01  1.270515e+02
1.035000e+00  3.072702e-01  4.248632e-02  4.724777e-02  1.073044e-01  1.292739e+02
1.050000e+00  3.057991e-01  4.214355e-02  4.705158e-02  1.066018e-01  1.315152e+02
1.065000e+00  3.043652e-01  4.181563e-02  4.685387e-02  1.058992e-01  1.337756e+02
1.080000e+00  3.029676e-01  4.150017e-02  4.665832e-02  1.052035e-01  1.360203e+02
1.095000e+00  3.016048e-01  4.119676e-02  4.646083e-02  1.045019e-01  1.382573e+02
1.110000e+00  3.002746e-01  4.090442e-02  4.625554e-02  1.037902e-01  1.406303e+02
1.125000e+00  2.989770e-01  4.062163e-02  4.604334e-02  1.030566e-01  1.429064e+02
1.140000e+00  2.977101e-01  4.034873e-02  4.586437e-02  1.023309e-01  1.452760e+02
1.155000e+00  2.964717e-01  4.008529e-02  4.568477e-02  1.016021e-01  1.476672e+02
1.170000e+00  2.952606e-01  3.983124e-02  4.546786e-02  1.008580e-01  1.500614e+02
1.185000e+00  2.940768e-01  3.958545e-02  4.524816e-02  1.001070e-01  1.524871e+02
1.200000e+00  2.929189e-01  3.934582e-02  4.502603e-02  9.935444e-02  1.549059e+02
1.215000e+00  2.917854e-01  3.911233e-02  4.480812e-02  9.861673e-02  1.573568e+02
